time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,id,place,type,magNst,Country,Continent_simplified,Continent_full,On_the_sea
2023-02-21T03:50:57.370Z,0.4262,96.6403,35,4.5,mb,32,176,1.278,0.61,us6000jqhe,"228 km S of Sinabang, Indonesia",earthquake,21,UNKNOWN,UNKNOWN,UNKNOWN,Indian Ocean
2023-02-21T02:54:00.944Z,-59.3726,-23.9648,10,5,mb,55,64,8.547,0.96,us6000jqha,South Sandwich Islands region,earthquake,40,UNKNOWN,UNKNOWN,UNKNOWN,South Atlantic Ocean
2023-02-20T22:39:08.725Z,-3.3886,143.6348,10,4.6,mb,20,169,6.927,0.93,us6000jqfg,"17 km N of Wewak, Papua New Guinea",earthquake,18,Papua New Guinea,OC,Oceania,Bismarck Sea
2023-02-20T20:13:51.210Z,-4.3832,102.1932,55.423,4.9,mb,70,61,0.761,1.2,us6000jqe3,"64 km S of Bengkulu, Indonesia",earthquake,75,Indonesia,AS,Asia,Indian Ocean
2023-02-20T19:19:22.838Z,4.5817,-82.8567,10,4.9,mb,67,149,3.832,1.11,us6000jqds,south of Panama,earthquake,218,UNKNOWN,UNKNOWN,UNKNOWN,North Pacific Ocean
2023-02-20T17:53:33.971Z,-9.8286,160.2368,11.992,5.1,mb,43,123,0.481,0.72,us6000jqdb,"53 km SE of Honiara, Solomon Islands",earthquake,106,Solomon Islands,OC,Oceania,Solomon Sea
2023-02-20T17:47:46.336Z,17.6339,145.5206,336.653,4.5,mb,92,101,4.07,0.72,us6000jqdg,"269 km N of Saipan, Northern Mariana Islands",earthquake,138,Northern Mariana Islands,OC,Oceania,Philippine Sea
2023-02-20T17:07:35.745Z,36.1491,35.9086,10,5.5,mb,37,88,1.462,0.97,us6000jqjc,Central Turkey,earthquake,21,Turkey,AS,Asia,NO
2023-02-20T17:04:29.441Z,36.1094,36.0165,16,6.3,mww,140,26,1.43,1.18,us6000jqcn,"3 km SSW of Uzunba?, Turkey",earthquake,97,Turkey,AS,Asia,NO
2023-02-20T09:47:26.864Z,3.3125,123.9156,410.778,4.6,mb,116,75,4.084,0.72,us6000jq9p,Celebes Sea,earthquake,132,UNKNOWN,UNKNOWN,UNKNOWN,Sulawesi Sea
